Grupo de edad, Total, Hombres, Mujeres
18 a 22 años,570646, 279374,291272
23 a 27 años,528289, 251899,276390
28 a 32 años,475854, 221145,254709
33 a 37 años,457864, 212520,245344
38 a 42 años,425089, 196550,228539
43 a 47 años,382865, 178206,204659
48 a 52 años,334597, 153039,181558
53 a 57 años,269080, 123605,145475
58 a 62 años,229364, 104369,124995
63 a 67 años,177876, 80892,96984
68 a 72 años,128374, 58004,70370
73 a 77 años,91494, 41799,49695
78 a 82 años,60354, 26102,34252
83 a 87 años,36491, 15340,21151
88 a 92 años,14770, 5903,8867
93 a 98 años,5631, 2077, 3554
99 años y más, 1065, 335, 730
No especificado, 5671, 2822, 2849
Total, 6583278, 3160115, 3423163
